Physical-AI Studio — SOTA Policies (build / refactor / watch),,,,,,,,,,,,,
"Single source of truth. Filter by Action (Build/Refactor/Evaluate/Watch), Status, Family, or Capability axis. Only SOTA policies to implement or stay aware of — already-shipped models (pi0.5, pi0, ACT, SmolVLA) are excluded unless there's an action (GR00T refactor). Closed/API-only = Watch (cannot implement). Snapshot: 11 Jun 2026.",,,,,,,,,,,,,
,,,,,,,,,,,,,
Action,Priority,Model,Org,Family,Capability axis,Status,In LeRobot?,Best validated result,Board,Date,Why build / note,Export value,Effort
Build,P1,MolmoAct 2,Ai2,ARM (VLA+flow+depth),Reasoning / generalist,Buildable,Yes (regular; Think NOT yet),MolmoSpaces #1 (0.51); beats pi0.5,MolmoSpaces,May 2026,First-party for EXPORT; LeRobot lacks onnx/OV/ExecuTorch. Build Think variant too.,High,High
Build,P1,RLDX-1,RLWRLD,VLA multi-stream (MSAT)+tactile/torque +IL/RL,Dexterity / contact,Buildable,No,RoboCasa-365 32.1; LIBERO-Plus 86.7%; ALLEX 86.8,RoboCasa / own real suite,May 2026,Unique axis; tactile+torque VLA; strongest edge/export differentiator.,High,High
Build,P1,DreamZero,NVIDIA GEAR,WAM (video-action),World model (generative),Buildable,No,62.2% vs 27.4% best VLA; MolmoSpaces+RoboArena #1 (Feb),MolmoSpaces/RoboArena,Feb 2026,First WAM in the library; new architecture class; 7Hz closed-loop.,High,High
Build,P1,VLA-JEPA,USTC/EIT et al.,VLA + latent JEPA world model,World model (latent) / robustness,Buildable,Yes (first WM in LeRobot),SOTA LIBERO avg; best 5/7 LIBERO-Plus; <1% data vs villa-X,LIBERO / SimplerEnv,Feb 2026,Cheap win: WM dropped at inference -> exports as plain Qwen+head. Robustness exemplar.,High,Low-Med
Build,P2,Spirit v1.5,Spirit AI / Qianxun,VLA,Generalist / real-world,Buildable,No,RoboChallenge #1 (50.33%); v1.6 RoboArena #1,RoboChallenge / RoboArena,Jan 2026,Top real-board open model; diverse-data thesis; track v1.6 weights.,Med,Med
Build,P2,LingBot-VLA,Ant Group (Robbyant),VLA (Qwen2.5-VL + blockwise causal attn),Generalist / cross-embodiment,Buildable,No (LeRobot-format data),"Beats pi0.5 w/ ~80 vs 130 demos/task; 20K hrs, 9 embodiments",GM-100,Jan 2026,Open weights; very data-efficient post-training; export-valuable,Med,Med
Build,P2,Qwen-VLA,Alibaba (Qwen),VLA (Qwen VLM stack + DiT action decoder),Generalist / unified (manip+nav),Buildable,No,Unified across tasks/envs/embodiments; manip+nav+navigation,lab,May 2026,"Open, Qwen-backbone (familiar stack); unifies manip+nav; export-valuable",Med,Med
Evaluate,-,mimic-video,(see arXiv 2512.15692),VAM (video-action),World model (generative),Buildable?,No,Unvalidated by us,-,2025,Beyond-VLA video-action; validate before committing.,TBD,TBD
Evaluate,P3,VLA-JEPA backbone: V-JEPA 2/2.1,Meta,Video world model / backbone,World model backbone,Buildable,Encoder used by VLA-JEPA,2.1: zero-shot image-goal planning,-,2025-26,"Backbone/prior, not a deployable policy. Awareness via VLA-JEPA.",Low,High
Evaluate,P3,LeWorldModel (LeWM),Mila / AMI Labs,Latent JEPA world model (planner/MPC),World model (planning),Buildable,No,Stable JEPA from pixels; 48x faster planning vs FM WMs,2D/3D control,Mar 2026,"Tiny (15M), exportable, edge-ideal. Evaluate as planner module, not direct policy.",Med,Low
Evaluate,P3,InternVLA-M1,Shanghai AI Lab,"VLA, two-stage spatial grounding",Generalist / spatial,Buildable,Community / TBC,~95.9 LIBERO; 71-81% Google Robot,LIBERO / SimplerEnv,2025,Strong open alternative generalist; optional breadth. Verify license/LeRobot status.,Med,Med
Evaluate,P3,GigaBrain-0.5M*,GigaBrain,VLA -> WAM + world-model RL,World model + RL,Buildable?,No,RoboChallenge 51.67% (former #1),RoboChallenge,Feb 2026,World-model RL exemplar; revisit when weights confirmed open.,Med,High
Evaluate,P3,LingBot-VA,Ant Group (Robbyant),"WAM (causal video-action, MoT)",World model (generative),Buildable,No (LeRobot-format),LIBERO/RoboTwin: 79.2 progress / 65.4 SR; SOTA long-horizon,LIBERO / RoboTwin,Feb 2026,Open WAM sibling of LingBot-VLA; RSS 2026; assess vs DreamZero,Med,High
Evaluate,P3,TD-MPC2,Hansen et al.,Model-based RL (implicit WM + MPC),RL / control (non-VLA),Buildable,No,104 RL tasks; beats SAC/DreamerV3 on efficiency,DMControl/manip,2024,"Open, classic MBRL baseline; relevant if you add RL track. Not a VLA.",Low-Med,Low
Evaluate,P3,DreamerV3,Hafner et al.,Model-based RL (RSSM world model),RL / control (non-VLA),Buildable,No,General MBRL; strong across domains,many RL suites,2023-25,"Open, canonical world-model RL baseline; for an RL track, not VLA manip.",Low-Med,Low
Refactor,P2,GR00T N1.7,NVIDIA,VLA dual-system (VLM + DiT head),Humanoid / whole-body,Buildable,Native = N1.5-3B (old),~97 LIBERO; Cosmos-Reason2-2B; EgoScale pretrain,LIBERO / lab,Apr 2026,our impl is old N1.x. Refactor to N1.7; make VLM backbone swappable (Eagle2->Cosmos-Reason2).,High,Med
Skip,-,X-VLA,(Florence-2 VLA),VLA,Generalist,Buildable,YES (native in LeRobot v0.5),Available via plugin,MolmoSpaces 0.05,2026,Already in LeRobot -> use plugin; add export wrapper only if needed,-,-
Skip,-,CORAL,(LoRA-experts framework),Adaptation method (not a policy),n/a - fine-tuning technique,Buildable,No,"Multi-task LoRA routing, zero inference overhead",-,Mar 2026,"NOT a policy - a multi-task fine-tuning method. Useful technique, wrong category for this table.",n/a,n/a
Skip,-,STARE-VLA,(RL fine-tuning method),Training method (not a policy),n/a - RL fine-tuning,Buildable,No,Stage-aware PPO for VLA fine-tuning,-,Dec 2025,"NOT a policy - a fine-tuning recipe (STA-PPO). Technique, not a model.",n/a,n/a
Watch,-,GEN-1,Generalist AI,VLA,Generalist,Closed (early-access),No,99% vs 64% prior; ~3x faster; 1hr robot data,Internal,Apr 2026,No weights/API/arch -> nothing to build. Jumps to Build if opened.,None,n/a
Watch,-,GR00T N2,NVIDIA,WAM (DreamZero-based),World model,Closed (ships end-2026),No,Claims #1 MolmoSpaces+RoboArena; >2x VLA new-task,MolmoSpaces/RoboArena,Mar 2026,Not shipped. DreamZero (open) is the buildable proxy now.,None,n/a
Watch,-,Gemini Robotics 1.5,Google DeepMind,VLA + ER orchestrator,Reasoning / generalist,API-only,No (VLA gated; ER via API),SOTA ER benchmarks; agentic,Internal,Oct 2025,ER reachable via Gemini API as remote planner; VLA cannot be self-hosted/exported.,Low,n/a
Watch,-,Spirit v1.6,Spirit AI / Qianxun,VLA,Generalist / real-world,Closed (weights TBC),No,"RoboArena #1 (1,924)",RoboArena,Jun 2026,"Current RoboArena #1; build v1.5 now, upgrade if v1.6 opens.",Med,n/a
Watch,-,RT-2 / Helix,Google / Figure,VLA,Generalist / humanoid,Closed,No,Historical / closed frontier,-,2023-25,Context only; no weights.,None,n/a
Watch,-,Genie 2 / Genie 3,Google DeepMind,World simulator (interactive 3D),Sim / training-env generation,Closed (AI Ultra / research preview),No,Real-time 3D worlds; trains agents (SIMA 2),-,2024-26,"Closed, proprietary; a SIMULATOR not a deployable policy. Monitor for sim-gen.",None,n/a
Watch,-,UniSim,Yang et al.,Video world model / universal simulator,Sim / training-env,Mostly closed/research,No,Learned video sim for training policies,-,2023-24,"Simulator, not a deployable policy; largely research. Context only.",None,n/a
Watch,-,Qwen-Robot Suite (Manip/Nav/World),Alibaba (Tongyi Lab),Suite: VLA + VLN + WAM + agent framework (RobotClaw),Generalist / manip+nav+world-model,Closed? (pending - enterprise pilot?),No,Launched 16 Jun 2026; no benchmarks/weights disclosed,-,Jun 2026,"3 decoupled models (RobotManip VLA, RobotNav VLN, RobotWorld WAM) + RobotClaw agent. NO weights/pricing yet; looks like enterprise pilot only? Re-check HF for weights -> jumps to Build if opened. NOT the same as Qwen-VLA (separate open research model already listed).",TBD,n/a
,,,,,,,,,,,,,
Action key:,,,,,,,,,,,,,
Build,open + export-gap -> first-party,,,,,,,,,,,,
Refactor,have an old version -> update,,,,,,,,,,,,
Evaluate,"open, role/fit TBD -> assess",,,,,,,,,,,,
Watch,closed/API-only or simulator -> monitor,,,,,,,,,,,,
Skip,"in LeRobot, or not a policy (method/framework)",,,,,,,,,,,,
